country,code country,Year,Maize yield
Cuba,CUB,1961,9.238
Cyprus,CYP,1961,0
Czechoslovakia,OWID_CZS,1961,2.4742
Democratic Republic of Congo,COD,1961,6.852
Denmark,DNK,1961,0
Dominica,DMA,1961,1.1818
Dominican Republic,DOM,1961,1.4352
East Timor,TLS,1961,1.0938
Eastern Africa (FAO),0,1961,1.1955
Eastern Asia (FAO),0,1961,1.2276
Eastern Europe (FAO),0,1961,21.562.998
Ecuador,ECU,1961,6.726
Egypt,EGY,1961,24.013.999
El Salvador,SLV,1961,92.789.996
Eswatini,SWZ,1961,4.001
Ethiopia (former),OWID_ERE,1961,9.629
Europe,0,1961,2.169.403
Europe (FAO),0,1961,21.694.999
European Union (27),0,1961,21.034.796
European Union (27) (FAO),0,1961,2.1036
Faroe Islands,FRO,1961,0
Fiji,FJI,1961,2.2
Finland,FIN,1961,0
France,FRA,1961,2.5291
French Guiana,GUF,1961,5
French Polynesia,PYF,1961,0
Gabon,GAB,1961,15.454.999
Gambia,GMB,1961,3.764
Germany,DEU,1961,28.978.999
Ghana,GHA,1961,9.536
Greece,GRC,1961,1.1946
Grenada,GRD,1961,87.299.997
Guadeloupe,GLP,1961,2
Guatemala,GTM,1961,8.286
Guinea,GIN,1961,1.1176
Guinea-Bissau,GNB,1961,6.667
Guyana,GUY,1961,9.848
Haiti,HTI,1961,1.0364
High-income countries,0,1961,3.407.496
Honduras,HND,1961,1.0253
Hong Kong,HKG,1961,0
Hungary,HUN,1961,2.0263
Iceland,ISL,1961,0
India,IND,1961,95.669.997
Indonesia,IDN,1961,9.273
Iran,IRN,1961,875
Iraq,IRQ,1961,949
Ireland,IRL,1961,0
Israel,ISR,1961,3.9594
Italy,ITA,1961,3.2882
Jamaica,JAM,1961,5.492
Japan,JPN,1961,2.6914
Jordan,JOR,1961,1.1622
Kenya,KEN,1961,1.2533
Land Locked Developing Countries (FAO),0,1961,1.1314
Laos,LAO,1961,16.999.999
Least Developed Countries (FAO),0,1961,96.279.997
Lebanon,LBN,1961,20.832.999
Lesotho,LSO,1961,81.479.996
Liberia,LBR,1961,0
Libya,LBY,1961,1.5385
Low Income Food Deficit Countries (FAO),0,1961,1.0799
Low-income countries,0,1961,11.241.479
Lower-middle-income countries,0,1961,97.460.526
Madagascar,MDG,1961,1.48
Malawi,MWI,1961,1.0188
Malaysia,MYS,1961,1.2005
Maldives,MDV,1961,1
Mali,MLI,1961,7.798
Malta,MLT,1961,0
Mauritania,MRT,1961,0.64
Mauritius,MUS,1961,1.5126
Melanesia,OWID_MNS,1961,1.1948
Mexico,MEX,1961,9.934
Middle Africa (FAO),0,1961,7.521
Mongolia,MNG,1961,0
Morocco,MAR,1961,3.171
Mozambique,MOZ,1961,8.706
Myanmar,MMR,1961,8.089
Namibia,NAM,1961,1.1765
Nepal,NPL,1961,19.513.999
Net Food Importing Developing Countries (FAO),0,1961,1.0496
Netherlands,NLD,1961,38.983.998
New Caledonia,NCL,1961,12.631.999
New Zealand,NZL,1961,38.651.998
Nicaragua,NIC,1961,84.819.996
Niger,NER,1961,7.496
Nigeria,NGA,1961,80.509.996
North America,0,1961,31.705.754
North Korea,PRK,1961,23.713.999
Northern Africa (FAO),0,1961,15.913.999
Northern America (FAO),0,1961,3.9229
Northern Europe (FAO),0,1961,0
Norway,NOR,1961,0
Oceania,0,1961,21.531.992
Oceania (FAO),0,1961,2.1532
Oman,OMN,1961,0
Pakistan,PAK,1961,1.0309
Panama,PAN,1961,8.059
Papua New Guinea,PNG,1961,91.539.997
Paraguay,PRY,1961,1.2009
Peru,PER,1961,1.3419
Philippines,PHL,1961,62.799.996
Poland,POL,1961,2.7731
Polynesia,OWID_PYA,1961,0
Portugal,PRT,1961,1.2779
Puerto Rico,PRI,1961,978
Reunion,REU,1961,39.473.999
Romania,ROU,1961,16.740.999
Rwanda,RWA,1961,74.829.996
Saint Kitts and Nevis,KNA,1961,0
Saint Lucia,LCA,1961,1.25
Saint Vincent and the Grenadines,VCT,1961,4
Sao Tome and Principe,STP,1961,14.814.999
Saudi Arabia,SAU,1961,0.5
Senegal,SEN,1961,8.857
Sierra Leone,SLE,1961,5.261
Small Island Developing States (FAO),0,1961,10.139.999
Solomon Islands,SLB,1961,0
Somalia,SOM,1961,8.696
South Africa,ZAF,1961,1.2853
South America,0,1961,13.733.652
South America (FAO),0,1961,1.3734
South Korea,KOR,1961,6.788
South-eastern Asia (FAO),0,1961,90.169.996
Southern Africa (FAO),0,1961,1.2548
Southern Asia (FAO),0,1961,1.073
Southern Europe (FAO),0,1961,21.125.998
Spain,ESP,1961,2.3882
Sri Lanka,LKA,1961,7.269
Sudan (former),0,1961,4.317
Suriname,SUR,1961,17.228.999
Sweden,SWE,1961,0
Switzerland,CHE,1961,4.6734
Syria,SYR,1961,1.787
Taiwan,TWN,1961,1.8061
Tanzania,TZA,1961,7.468
Thailand,THA,1961,20.075.998
Togo,TGO,1961,4.926
Trinidad and Tobago,TTO,1961,3
Tunisia,TUN,1961,0
Turkey,TUR,1961,1.4426
USSR,OWID_USS,1961,23.950.999
Uganda,UGA,1961,1.0983
United Kingdom,GBR,1961,0
United States,USA,1961,39.163.828
Upper-middle-income countries,0,1961,14.165.062
Uruguay,URY,1961,78.639.996
Vanuatu,VUT,1961,0.5
Venezuela,VEN,1961,1.0792
Vietnam,VNM,1961,1.123
Western Africa (FAO),0,1961,7.414
Western Asia (FAO),0,1961,1.3643
Western Europe (FAO),0,1961,2.6028
World,OWID_WRL,1961,1.9423
Yemen,YEM,1961,2.44
Yugoslavia,OWID_YGS,1961,1.8122
Zambia,ZMB,1961,0.88
Zimbabwe,ZWE,1961,1.1929
Afghanistan,AFG,1962,1.4
Africa,0,1962,11.124.965
Africa (FAO),0,1962,1.1112
Albania,ALB,1962,9.079
Algeria,DZA,1962,53.999.996
Americas (FAO),0,1962,2.7199
Angola,AGO,1962,8.113
Argentina,ARG,1962,1.8936
Asia,0,1962,11.827.286
Asia (FAO),0,1962,11.826.999
Australia,AUS,1962,2.1785
Austria,AUT,1962,35.619.998
Bahamas,BHS,1962,8.333
Bangladesh,BGD,1962,7.384
Barbados,BRB,1962,2.5112
Belgium-Luxembourg (FAO),0,1962,4.3894
Belize,BLZ,1962,5.825
Benin,BEN,1962,4.944
Bhutan,BTN,1962,13.982.999
Bolivia,BOL,1962,1.2399
Botswana,BWA,1962,68.219.995
Brazil,BRA,1962,13.047.999
Brunei,BRN,1962,0
Bulgaria,BGR,1962,2.3903
Burkina Faso,BFA,1962,48.659.998
Burundi,BDI,1962,1.0322
Cambodia,KHM,1962,1.5019
Cameroon,CMR,1962,74.469.995
Canada,CAN,1962,4.7721
Cape Verde,CPV,1962,0.65
Caribbean (FAO),0,1962,1.0547
Central African Republic,CAF,1962,42.859.998
Central America (FAO),0,1962,9.848
Chad,TCD,1962,1
Chile,CHL,1962,21.376.998
China,CHN,1962,1.2695
Colombia,COL,1962,1.0818
Comoros,COM,1962,1.0952
Congo,COG,1962,0.75
Costa Rica,CRI,1962,1.0517
Cote d'Ivoire,CIV,1962,76.229.995
Cuba,CUB,1962,93.329.996
Cyprus,CYP,1962,0
Czechoslovakia,OWID_CZS,1962,23.497.999
Democratic Republic of Congo,COD,1962,69.229.996
Denmark,DNK,1962,0
Dominica,DMA,1962,1.1818
Dominican Republic,DOM,1962,15.144.999
East Timor,TLS,1962,1
Eastern Africa (FAO),0,1962,9.971
Eastern Asia (FAO),0,1962,1.3203
Eastern Europe (FAO),0,1962,2.096
Ecuador,ECU,1962,65.169.996
Egypt,EGY,1962,26.039.999
El Salvador,SLV,1962,10.764.999
Eswatini,SWZ,1962,4.265
Ethiopia (former),OWID_ERE,1962,96.099.997
Europe,0,1962,21.202.257
Europe (FAO),0,1962,2.1203
European Union (27),0,1962,20.519.598
European Union (27) (FAO),0,1962,20.521.998
Faroe Islands,FRO,1962,0
Fiji,FJI,1962,2.2
Finland,FIN,1962,0
France,FRA,1962,2.1489
French Guiana,GUF,1962,9.4186
French Polynesia,PYF,1962,0
Gabon,GAB,1962,15.454.999
Gambia,GMB,1962,31.239.998
Germany,DEU,1962,3.2319
Ghana,GHA,1962,92.829.996
Greece,GRC,1962,1.2985
Grenada,GRD,1962,87.299.997
Guadeloupe,GLP,1962,2
Guatemala,GTM,1962,87.479.997
Guinea,GIN,1962,1.0588
Guinea-Bissau,GNB,1962,6.667
Guyana,GUY,1962,9.407
Haiti,HTI,1962,1.0409
High-income countries,0,1962,35.101.748
Honduras,HND,1962,1.0526
Hong Kong,HKG,1962,0
Hungary,HUN,1962,2.5149
Iceland,ISL,1962,0
India,IND,1962,99.219.996
Indonesia,IDN,1962,1.0214
Iran,IRN,1962,875
Iraq,IRQ,1962,99.149.996
Ireland,IRL,1962,0
Israel,ISR,1962,39.129.999
Italy,ITA,1962,2.9129
Jamaica,JAM,1962,7.339
Japan,JPN,1962,2.4608
Jordan,JOR,1962,11.524.999
Kenya,KEN,1962,12.221.999
Land Locked Developing Countries (FAO),0,1962,11.230.999
Laos,LAO,1962,1.5
Least Developed Countries (FAO),0,1962,9.457
Lebanon,LBN,1962,2.1429
Lesotho,LSO,1962,81.479.996
Liberia,LBR,1962,0
Libya,LBY,1962,1.0769
Low Income Food Deficit Countries (FAO),0,1962,1.0712
Low-income countries,0,1962,11.508.758
Lower-middle-income countries,0,1962,10.177.547
Madagascar,MDG,1962,1.3
Malawi,MWI,1962,1.0625
Malaysia,MYS,1962,1.2382
Maldives,MDV,1962,1
Mali,MLI,1962,8.046
Malta,MLT,1962,0
Mauritania,MRT,1962,0.68
Mauritius,MUS,1962,1.7807
Melanesia,OWID_MNS,1962,11.057.999
Mexico,MEX,1962,9.946
Middle Africa (FAO),0,1962,7.402
Mongolia,MNG,1962,0
Morocco,MAR,1962,93.329.996
Mozambique,MOZ,1962,825
Myanmar,MMR,1962,52.639.997
Namibia,NAM,1962,1.1667
Nepal,NPL,1962,1.9552
Net Food Importing Developing Countries (FAO),0,1962,1.0896
Netherlands,NLD,1962,38.051.999
New Caledonia,NCL,1962,14.117.999
New Zealand,NZL,1962,46.861.997
Nicaragua,NIC,1962,866
Niger,NER,1962,73.319.995
Nigeria,NGA,1962,88.479.996
North America,0,1962,3.253.741
North Korea,PRK,1962,24.622.998
Northern Africa (FAO),0,1962,1.9409
Northern America (FAO),0,1962,4.0676
Northern Europe (FAO),0,1962,0
Norway,NOR,1962,0
Oceania,0,1962,2.240.056
Oceania (FAO),0,1962,2.2401
Oman,OMN,1962,0
Pakistan,PAK,1962,1.0525
Panama,PAN,1962,86.509.997
Papua New Guinea,PNG,1962,1.6566
Paraguay,PRY,1962,1.3
Peru,PER,1962,13.026.999
Philippines,PHL,1962,6.529
Poland,POL,1962,2.1591
Polynesia,OWID_PYA,1962,0
Portugal,PRT,1962,1.1751
Puerto Rico,PRI,1962,1.0122
Reunion,REU,1962,39.473.999
Romania,ROU,1962,1.5876
Rwanda,RWA,1962,11.754.999
Saint Kitts and Nevis,KNA,1962,0
Saint Lucia,LCA,1962,1.25
Saint Vincent and the Grenadines,VCT,1962,4
Sao Tome and Principe,STP,1962,14.814.999
Saudi Arabia,SAU,1962,0.5
Senegal,SEN,1962,871
Sierra Leone,SLE,1962,5.261
Small Island Developing States (FAO),0,1962,1.0275
Solomon Islands,SLB,1962,0
Somalia,SOM,1962,8.667
South Africa,ZAF,1962,1.3877
South America,0,1962,13.933.533
South America (FAO),0,1962,1.3934
South Korea,KOR,1962,6.796
South-eastern Asia (FAO),0,1962,96.419.996
Southern Africa (FAO),0,1962,1.3514
Southern Asia (FAO),0,1962,1.0996
Southern Europe (FAO),0,1962,2.1559
Spain,ESP,1962,2.1408
Sri Lanka,LKA,1962,78.139.997
Sudan (former),0,1962,4.836
Suriname,SUR,1962,1.78
Sweden,SWE,1962,0
Switzerland,CHE,1962,4.5246
Syria,SYR,1962,1.193
Taiwan,TWN,1962,2.0147
Tanzania,TZA,1962,0.75
Thailand,THA,1962,20.700.998
Togo,TGO,1962,60.469.997
Trinidad and Tobago,TTO,1962,31.952.999
Tunisia,TUN,1962,0
Turkey,TUR,1962,1.1994
USSR,OWID_USS,1962,22.089.999
Uganda,UGA,1962,1.1118
United Kingdom,GBR,1962,0
United States,USA,1962,4.060.736
Upper-middle-income countries,0,1962,14.481.355
Uruguay,URY,1962,58.059.996
Vanuatu,VUT,1962,0.5
Venezuela,VEN,1962,1.1184
Vietnam,VNM,1962,1.1987
Western Africa (FAO),0,1962,76.809.996
Western Asia (FAO),0,1962,1.1398
Western Europe (FAO),0,1962,2.2556
World,OWID_WRL,1962,1.9796
Yemen,YEM,1962,24.422.998
Yugoslavia,OWID_YGS,1962,2.1408
Zambia,ZMB,1962,8.533
Zimbabwe,ZWE,1962,1.1175
Afghanistan,AFG,1963,1.426
Africa,0,1963,11.100.464
Africa (FAO),0,1963,11.093.999
Albania,ALB,1963,1.1924
Algeria,DZA,1963,1.0716
Americas (FAO),0,1963,2.8135
Angola,AGO,1963,76.919.997
Argentina,ARG,1963,16.480.999
Asia,0,1963,12.418.653
Asia (FAO),0,1963,1.2419
Australia,AUS,1963,2.2343
Austria,AUT,1963,39.032.998
Bahamas,BHS,1963,8.333
Bangladesh,BGD,1963,7.725
Barbados,BRB,1963,18.829.999
Belgium-Luxembourg (FAO),0,1963,5.121
Belize,BLZ,1963,6.143
Benin,BEN,1963,4.956
Bhutan,BTN,1963,14.010.999
Bolivia,BOL,1963,1.2408
Botswana,BWA,1963,0.75
Brazil,BRA,1963,13.091.999
Brunei,BRN,1963,0
Bulgaria,BGR,1963,2.6244
Burkina Faso,BFA,1963,6.885
Burundi,BDI,1963,90.809.995
Cambodia,KHM,1963,15.929.999
Cameroon,CMR,1963,7.556
Canada,CAN,1963,4.1108
Cape Verde,CPV,1963,0.65
Caribbean (FAO),0,1963,10.591.999
Central African Republic,CAF,1963,42.859.998
Central America (FAO),0,1963,97.999.996
Chad,TCD,1963,1
Chile,CHL,1963,20.867.999
China,CHN,1963,1.3398
Colombia,COL,1963,1.1348
Comoros,COM,1963,1.0222
Congo,COG,1963,01.02
Costa Rica,CRI,1963,1.1125
Cote d'Ivoire,CIV,1963,68.149.996
Cuba,CUB,1963,0.95
Cyprus,CYP,1963,0
Czechoslovakia,OWID_CZS,1963,29.338.999
Democratic Republic of Congo,COD,1963,6.796
Denmark,DNK,1963,0
Dominica,DMA,1963,1.2174
Dominican Republic,DOM,1963,1.5194
East Timor,TLS,1963,1.0207
Eastern Africa (FAO),0,1963,95.739.996
Eastern Asia (FAO),0,1963,1.3873
Eastern Europe (FAO),0,1963,1.8402
Ecuador,ECU,1963,7.782
Egypt,EGY,1963,25.823.998
El Salvador,SLV,1963,11.991.999
Eswatini,SWZ,1963,4.434
Ethiopia (former),OWID_ERE,1963,0.9
Europe,0,1963,20.865.843
Europe (FAO),0,1963,2.0867
European Union (27),0,1963,24.418.018
European Union (27) (FAO),0,1963,2.4419
Faroe Islands,FRO,1963,0
Fiji,FJI,1963,2.2124
Finland,FIN,1963,0
France,FRA,1963,4.0593
French Guiana,GUF,1963,7
French Polynesia,PYF,1963,0
Gabon,GAB,1963,15.454.999
Gambia,GMB,1963,3.041
Germany,DEU,1963,3.4526
Ghana,GHA,1963,90.389.997
Greece,GRC,1963,13.644.999
Grenada,GRD,1963,87.299.997
Guadeloupe,GLP,1963,2
Guatemala,GTM,1963,85.609.996
Guinea,GIN,1963,875
Guinea-Bissau,GNB,1963,6.667
Guyana,GUY,1963,92.139.995
Haiti,HTI,1963,10.454.999
High-income countries,0,1963,37.587.755
Honduras,HND,1963,1.0806
Hong Kong,HKG,1963,0
Hungary,HUN,1963,2.7553
Iceland,ISL,1963,0
India,IND,1963,99.539.995
Indonesia,IDN,1963,92.139.995
Iran,IRN,1963,875
Iraq,IRQ,1963,1.1965
Ireland,IRL,1963,0
Israel,ISR,1963,4.4983
Italy,ITA,1963,3.2949
Jamaica,JAM,1963,6.494
Japan,JPN,1963,2.6883
Jordan,JOR,1963,7.604
Kenya,KEN,1963,1.25
Land Locked Developing Countries (FAO),0,1963,10.612.999
Laos,LAO,1963,1.5
Least Developed Countries (FAO),0,1963,9.352
Lebanon,LBN,1963,2
Lesotho,LSO,1963,81.479.996
Liberia,LBR,1963,0
Libya,LBY,1963,12.307.999
Low Income Food Deficit Countries (FAO),0,1963,1.0744
Low-income countries,0,1963,1.162.041
Lower-middle-income countries,0,1963,10.235.083
Madagascar,MDG,1963,1.14
Malawi,MWI,1963,89.739.996
Malaysia,MYS,1963,16.238.999
Maldives,MDV,1963,1
Mali,MLI,1963,8.656
Malta,MLT,1963,0
Mauritania,MRT,1963,5.692
Mauritius,MUS,1963,1.2895
Melanesia,OWID_MNS,1963,1.1205
Mexico,MEX,1963,9.867
Middle Africa (FAO),0,1963,726
Mongolia,MNG,1963,0
Morocco,MAR,1963,1.0435
Mozambique,MOZ,1963,8.875
Myanmar,MMR,1963,7.452
Namibia,NAM,1963,1.1667
Nepal,NPL,1963,1.9562
Net Food Importing Developing Countries (FAO),0,1963,1.0792
Netherlands,NLD,1963,4.2619
New Caledonia,NCL,1963,1.5
New Zealand,NZL,1963,48.403.997
Nicaragua,NIC,1963,8.871
Niger,NER,1963,6.795
Nigeria,NGA,1963,1.0237
North America,0,1963,3.387.066
North Korea,PRK,1963,26.980.999
Northern Africa (FAO),0,1963,19.492.999
Northern America (FAO),0,1963,42.581.997
Northern Europe (FAO),0,1963,0
Norway,NOR,1963,0
Oceania,0,1963,23.059.366
Oceania (FAO),0,1963,23.058.999
Oman,OMN,1963,0
Pakistan,PAK,1963,1.0522
Panama,PAN,1963,80.609.995
Papua New Guinea,PNG,1963,1.1959
Paraguay,PRY,1963,1.25
Peru,PER,1963,1.3281
Philippines,PHL,1963,68.119.997
Poland,POL,1963,21.211.998
Polynesia,OWID_PYA,1963,0
Portugal,PRT,1963,10.728.999
Puerto Rico,PRI,1963,1.0122
Reunion,REU,1963,39.473.999
Romania,ROU,1963,1.7822
Rwanda,RWA,1963,2
Saint Kitts and Nevis,KNA,1963,0
Saint Lucia,LCA,1963,1.25
Saint Vincent and the Grenadines,VCT,1963,4
Sao Tome and Principe,STP,1963,14.814.999
Saudi Arabia,SAU,1963,0.5
Senegal,SEN,1963,8.182
Sierra Leone,SLE,1963,4.973
Small Island Developing States (FAO),0,1963,1.0315
Solomon Islands,SLB,1963,0
Somalia,SOM,1963,86.469.996
South Africa,ZAF,1963,1.4121
South America,0,1963,13.452.138
South America (FAO),0,1963,1.3452
South Korea,KOR,1963,6.493
South-eastern Asia (FAO),0,1963,9.438
Southern Africa (FAO),0,1963,1.3771
Southern Asia (FAO),0,1963,11.050.999
Southern Europe (FAO),0,1963,2.3107
Spain,ESP,1963,24.043.999
Sri Lanka,LKA,1963,7.096
Sudan (former),0,1963,7.732
Suriname,SUR,1963,1.7563
Sweden,SWE,1963,0
Switzerland,CHE,1963,4.8967
Syria,SYR,1963,1.374
Taiwan,TWN,1963,1.7974
Tanzania,TZA,1963,8.854
Thailand,THA,1963,2.2078
Togo,TGO,1963,4.759
Trinidad and Tobago,TTO,1963,3.3939
Tunisia,TUN,1963,0
Turkey,TUR,1963,1.4776
USSR,OWID_USS,1963,15.929.999
Uganda,UGA,1963,12.530.999
United Kingdom,GBR,1963,0
United States,USA,1963,42.615.767
Upper-middle-income countries,0,1963,13.767.399
Uruguay,URY,1963,8.707
Vanuatu,VUT,1963,0.5
Venezuela,VEN,1963,1.1981
Vietnam,VNM,1963,9.307
Western Africa (FAO),0,1963,82.339.996
Western Asia (FAO),0,1963,1.3873
Western Europe (FAO),0,1963,4.0457
World,OWID_WRL,1963,2.0311
Yemen,YEM,1963,2.4528
Yugoslavia,OWID_YGS,1963,2.2323
Zambia,ZMB,1963,7.403
Zimbabwe,ZWE,1963,0.96
Afghanistan,AFG,1964,1.4257
Africa,0,1964,97.999.686
Africa (FAO),0,1964,97.959.995
Albania,ALB,1964,11.633.999
Algeria,DZA,1964,1.1703
Americas (FAO),0,1964,2.5828
Angola,AGO,1964,86.539.996
Argentina,ARG,1964,1.801
Asia,0,1964,13.196.802
Asia (FAO),0,1964,1.3197
Australia,AUS,1964,1.9646
Austria,AUT,1964,4.2359
Bahamas,BHS,1964,8.929
Bangladesh,BGD,1964,7.532
Barbados,BRB,1964,1.7887
Belgium-Luxembourg (FAO),0,1964,5.6558
Belize,BLZ,1964,5.469
Benin,BEN,1964,54.469.997
Bhutan,BTN,1964,1.4
Bolivia,BOL,1964,9.091
Botswana,BWA,1964,67.219.996
Brazil,BRA,1964,1.1606
Brunei,BRN,1964,0
Bulgaria,BGR,1964,3.1264
Burkina Faso,BFA,1964,7.614
Burundi,BDI,1964,1.0158
Cambodia,KHM,1964,1.6055
Cameroon,CMR,1964,7.586
Canada,CAN,1964,5.0636
Cape Verde,CPV,1964,0.65
Caribbean (FAO),0,1964,10.540.999
Central African Republic,CAF,1964,0.7
Central America (FAO),0,1964,11.065.999
Chad,TCD,1964,6.258
Chile,CHL,1964,2.7396
China,CHN,1964,1.4784
Colombia,COL,1964,12.544.999
Comoros,COM,1964,01.04
Congo,COG,1964,1
Costa Rica,CRI,1964,9.248
Cote d'Ivoire,CIV,1964,6.929
Cuba,CUB,1964,9.474
Cyprus,CYP,1964,0
Czechoslovakia,OWID_CZS,1964,2.6539
Democratic Republic of Congo,COD,1964,6.796
Denmark,DNK,1964,0
Dominica,DMA,1964,1.2174
Dominican Republic,DOM,1964,14.398.999
East Timor,TLS,1964,1.0241
Eastern Africa (FAO),0,1964,978
Eastern Asia (FAO),0,1964,15.239.999
Eastern Europe (FAO),0,1964,25.370.998
Ecuador,ECU,1964,4.298
Egypt,EGY,1964,2.7716
El Salvador,SLV,1964,1.156
Eswatini,SWZ,1964,41.799.998
